bldg_id,street_address,zip_code,last_reg,rc_count,docket_no,case_type,case_status,filing_date,closing_date,close_code,staff_id,mci_item,claim_cost,allow_cost,wk_beg_dt
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,ET110099OM,OM,CLOSED,8/30/16,6/5/17,GP,RRP-00012-19,REL WORK/GARAGE ROOF,87897.28,46869.78,7/1/15
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,EW110034OM,OM,CLOSED,11/29/16,12/1/17,GP,ROM-00097-17,ROOF/ASBESTOS ABTMT,574533,538813.5,5/25/15
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,GR110058OM,OM,CLOSED,6/28/18,2/5/19,GR,ROM-00008-19,COMPACTOR,30000,30000,11/17/16
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,GR110058OM,OM,CLOSED,6/28/18,2/5/19,GR,ROM-00008-19,COMPACTOR REL. WORK,11500,11500,7/31/17
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,HM110111OM,OM,OPEN,1/18/19,N/A,GR,MLN,WATER TANK REPLACEMT,86712.72,0,8/14/18
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,HP110129OM,OM,OPEN,4/17/19,N/A,GR,MJC2,FACADE,638188.18,0,5/30/17
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,HP110129OM,OM,OPEN,4/17/19,N/A,GR,MJC2,SUPPLY AC GRILLS,49622,0,3/27/17
425002,97-07 HORACE HARDING EXPY CORONA NY,11368,2020,0,XG110055OM,OM,CLOSED,7/20/09,8/30/10,GP,RRO-00003-15,ELEVATOR UPGRADING,832012,705000,2/29/08
425002,97-07 HORACE HARDING EXPY CORONA NY,11368,2020,0,GV110074OM,OM,OPEN,10/24/18,N/A,GP,MLN,NEW ROOF,558779.1,0,10/1/17
425002,97-07 HORACE HARDING EXPY CORONA NY,11368,2020,0,GX110100OM,OM,OPEN,12/14/18,N/A,GP,MLN,FACADE,449111.1,0,4/15/17
425002,97-07 HORACE HARDING EXPY CORONA NY,11368,2020,0,GX110100OM,OM,OPEN,12/14/18,N/A,GP,MLN,SUPPLY AC GRILLS,39388,0,4/3/17
425003,97-11 HORACE HARDING EXPY CORONA NY,11368,2020,0,XG110029OM,OM,CLOSED,7/16/09,8/30/10,GP,RISF-00034-15,ELEVATOR UPGRADING,832012,705000,2/29/08
425003,97-11 HORACE HARDING EXPY CORONA NY,11368,2020,0,GR110063OM,OM,CLOSED,6/28/18,5/20/19,GP,A66,GARAGE ROOF,3223907.51,2246985.9,11/25/15
